,Date,High,Low,Open,Close,Volume,Adj Close,ma_crossover,ma_position,code
199,2014-10-15,124.0999984741211,117.5999984741211,123.0,120.6999969482422,1580379.0,88.36566925048828,1,1,EVR.L
199,2014-10-15,1386.5,1333.5,1386.5,1334.0,4869950.0,1200.7418212890625,1,1,PRU.L
199,2014-10-15,2256.0,2198.5,2256.0,2198.5,5052693.0,1648.561279296875,1,1,RDSB.L
199,2014-10-15,1329.0,1285.0,1316.0,1293.0,2051607.0,1004.7744750976562,1,1,PSN.L
199,2014-10-15,1166.1800537109375,1139.43994140625,1162.1099853515625,1148.739990234375,131754.0,996.759765625,1,1,MCRO.L
199,2014-10-15,201.6000061035156,193.6000061035156,200.3999938964844,193.8999938964844,38640495.0,165.84457397460938,1,1,ITV.L
199,2014-10-15,3135.0,3050.0,3133.0,3105.0,304318.0,2879.46337890625,1,1,DCC.L
199,2014-10-15,559.0969848632811,548.4739990234375,556.77197265625,549.8889770507811,996010.0,406.8145446777344,1,1,PHNX.L
199,2014-10-15,115.0999984741211,112.4000015258789,114.0,113.8000030517578,2661931.0,106.93075561523438,1,1,RTO.L
199,2014-10-15,299.4549865722656,291.27301025390625,299.4549865722656,291.4909973144531,5032182.0,244.5842742919922,1,1,DLG.L
199,2014-10-15,4071.679931640625,3975.0,4017.0,3989.0,915623.0,3632.021484375,1,1,WTB.L
199,2014-10-15,1944.0,1853.0,1926.0,1858.0,884519.0,1558.5738525390625,1,1,SVT.L
199,2014-10-15,3006.320068359375,2888.7900390625,2964.530029296875,2899.22998046875,145168.0,2639.54833984375,1,1,PPB.L
199,2014-10-15,451.8999938964844,437.0,450.7999877929688,437.20001220703125,8394274.0,367.45404052734375,1,1,BA.L
199,2014-10-15,1579.0,1517.0,1572.0,1519.0,1004554.0,1388.00390625,1,1,BNZL.L
199,2014-10-15,2171.5,2113.0,2171.5,2114.0,8971890.0,1694.2371826171875,1,1,RDSA.L
199,2014-10-15,223.8650054931641,216.3999938964844,223.1000061035156,216.5,17013129.0,173.7147216796875,1,1,LGEN.L
199,2014-10-15,6560.0,6400.0,6550.0,6420.0,715854.0,5640.76611328125,1,1,NXT.L
199,2014-10-15,337.5780029296875,323.7149963378906,332.7969970703125,324.4800109863281,1122480.0,282.94921875,1,1,SGRO.L
