code,Company
ZZZ.L,Snoozebox Holdings plc
ZYT.L,Zytronic plc
ZTF.L,Zotefoams plc
ZOX.L,Zincox Resources plc
ZOO.L,ZOO Digital Group plc
ZOL.L,Zoltav Resources Inc.
ZMNO.L,zamano plc
ZIOC.L,Zanaga Iron Ore Company Limited
ZHEH.L,"Zhejiang Expressway Co., Ltd."
ZENB.L,Zenith Bank Plc
ZEG.L,Zegona Communications plc
ZCC.L,ZCCM Investments Holdings Plc
ZBO.L,Zibao Metals Recycling Holdings Plc
ZAM.L,Zambeef Products Plc
YUJ.L,Yujin International Ltd.
YU.L,Yü Group PLC
YOU.L,YouGov plc
YOLO.L,Yolo Leisure and Technology plc
YNGN.L,"Young & Co.'s Brewery, P.L.C."
YNGA.L,"Young & Co.'s Brewery, P.L.C."
YMTD.L,Yang Ming Marine Transport Corporation
YMT1.L,Yang Ming Marine Transport Corporation
YKBD.L,YAPI VE KREDI BANKASI A.S. GDR
XTR.L,Xtract Resources Plc
XSG.L,Xeros Technology Group plc
XPP.L,XP Power Limited
XPL.L,XPLORER PLC ORD 0.1P
XLM.L,XLMedia PLC
XEL.L,Xcite Energy Limited
XCH.L,Xchanging plc
XAR.L,Xaar plc
WYN.L,Wynnstay Group plc
WWH.L,Worldwide Healthcare Ord
WTI.L,Weatherly International PLC
WTG.L,Watchstone Group Plc
WTB.L,Whitbread PLC
WTAN.L,Witan Investment Trust plc
WSL.L,Worldsec Limited
WSG.L,Westminster Group Plc
WSBN.L,Wishbone Gold Plc
WRN.L,WORTHINGTON GROUP PLC ORD 10P
WRL.L,Wentworth Resources Limited
WRES.L,W Resources Plc
WPP.L,WPP plc
WPG.L,Worldpay Group plc
WOS.L,Ferguson plc
WORK.L,Work Group plc
WMH.L,William Hill plc
WLG.L,Wireless Group PLC
WLFE.L,Wolf Minerals Limited
WKP.L,Workspace Group plc
WKOF.L,Weiss Korea Opportunity Fund Ltd.
WIZZ.L,Wizz Air Holdings Plc
WINK.L,M Winkworth PLC
WIN.L,Wincanton plc
WIL.L,Wilmington plc
WHI.L,WH Ireland Group plc
WHE.L,Salt Lake Potash Limited
WGP.L,WORLDLINK GROUP PLC ORD GBP0.01
WG.L,John Wood Group PLC
WEY.L,Wey Education Plc
WEIR.L,The Weir Group PLC
WEB.L,Webis Holdings Plc
WCW.L,Walker Crips Group plc
WATR.L,Water Intelligence plc
WAFM.L,West African Minerals Corporation
VZC.L,Verizon Communications Inc.
VTU.L,Vertu Motors plc
VTC.L,The Vitec Group plc
VTBR.L,VTB Bank (public joint-stock company)
VSVS.L,Vesuvius plc
VSN.L,Verseon Corporation
VRS.L,Versarien plc
VRP.L,Verona Pharma plc
VP.L,Vp plc
VOF.L,VinaCapital Vietnam Opportunity Fund Limited
VOD.L,Vodafone Group Plc
VNI.L,Vietnam Infrastructure Limited
VNET.L,Vianet Group plc
VM.L,Virgin Money Holdings (UK) plc
VLX.L,Volex plc
VLS.L,Velocys plc
VLK.L,Pebble Beach Systems Group plc
VLE.L,Volvere plc
VIS.L,Vitesse Media Plc
VIP.L,Vipera Plc
VIN.L,Value And Income Ord
VGAS.L,Volga Gas plc
VER.L,Vernalis plc
VENN.L,Venn Life Sciences Holdings plc
VELA.L,Vela Technologies PLC
VEC.L,Vectura Group plc
VCT.L,Victrex plc
VCP.L,Victoria plc
VAST.L,Vast Resources plc
VAL.L,ValiRx plc
UVEL.L,UniVision Engineering Limited
UU.L,United Utilities Group PLC
UTV.L,Wireless Group PLC
UTLE.L,UIL Finance Limited
UTLC.L,UIL FINANCE LIMITED RED ZDP SHS
UTL.L,UIL Limited
UTG.L,The Unite Group plc
USG.L,Ultimate Sports Group Plc
URU.L,URU Metals Limited
URA.L,Uranium Resources Plc
ULVR.L,Unilever PLC
ULS.L,ULS Technology plc
ULE.L,Ultra Electronics Holdings plc
UKRO.L,Ukraine Opportunity Ord
UKOG.L,UK Oil & Gas Investments PLC
UKML.L,UK Mortgages Ltd
UKM.L,UK Mail Group plc
UKCM.L,UK Commercial Property Trust Limited
UJO.L,Union Jack Oil plc
UEN.L,Urals Energy Public Company Limited
UEMS.L,UTILICO EMERGING MARKETS LIMITE
UEM.L,Utilico Emerging Markets Limited
UCP.L,UCP Plc
UCG.L,United Carpets Group PLC
UBM.L,UBM plc
UBLS.L,United Bank Limited
UAV.L,Unicorn AIM VCT plc
UANC.L,Urban&Civic plc
UAI.L,U and I Group PLC
TYT.L,Toyota Motor Corporation
TYRU.L,"TyraTech, Inc."
TYR.L,"TyraTech, Inc."
TYK4.L,TEST STOCKS ORD
TXH.L,Tex Holdings plc
TW.L,Taylor Wimpey plc
TUIN.L,TUIN.L
TUIJ.L,TUIJ.L
TUI.L,TUI AG
TTG.L,TT Electronics plc
TTA.L,TOTAL S.A.
TT.L,TT.L
TSCO.L,Tesco PLC
TSB.L,TSB Banking Group plc
TRY.L,TR Property Ord
TRX.L,Tissue Regenix Group plc
TRS.L,Tarsus Group plc
TRK.L,Torotrak plc
TRIN.L,Trinity Exploration & Production plc
TRIG.L,The Renewables Infrastructure Group Limited
TREE.L,Cambium Global Timberland Limited
TRE.L,Trading Emissions PLC
TRCN.L,Public Joint Stock Company TransContainer
TPV1.L,Triple Point Income VCT plc
TPS.L,Turbo Power Systems Inc.
TPOU.L,Third Point Offshore Investors Limited
TPK.L,Travis Perkins plc
TPFZ.L,Taliesin Property Fund Limited
TPF.L,Taliesin Property Fund Limited
TOWN.L,Town Centre Securities plc
TON.L,Titon Holdings plc
TOM.L,TomCo Energy Plc
TMZ.L,Toumaz Limited
TMPL.L,Temple Bar Investment Trust PLC
TME.L,Trader Media East Limited
TLY.L,Totally plc
TLW.L,Tullow Oil plc
TLPR.L,Tullett Prebon plc
TLA.L,TLA Worldwide Plc
TIR.L,Tiger Resource Finance Ord
TILS.L,Tiziana Life Sciences PLC
TIGT.L,Troy Income & Growth Trust Plc
TIG.L,Innovation Group plc
TIDE.L,Crimson Tide plc
TIBD.L,Türkiye Is Bankasi Anonim Sirketi
THT.L,Thorntons PLC
THRG.L,BlackRock Throgmorton Trust plc
THL.L,Tongaat Hulett Limited
TGBD.L,Turkiye Garanti Bankasi A.S.
TET.L,Treatt plc
TEP.L,Telecom Plus PLC
TEM.L,Templeton Emerging Mkts Invmt Tr TEMIT
TEF.L,Telford Homes Plc
TEEG.L,Telecom Egypt Company S.A.E.
TED.L,Ted Baker PLC
TECH.L,"TechFinancials, Inc."
TECD.L,TECO Electric & Machinery Co. Ltd.
TE20.L,TEST STOCKS ORD
TCSC.L,Town Centre Securities plc
